owner,C_flops,depth,alpha,P_bal,delta,delta_ci_lo,delta_ci_hi,source_file
w16/150k,1.127e+17,9,0.75,0.02345251558405167,0.15725146039171545,0.14161781753191677,0.17388448802101045,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w16/150k,1.127e+17,9,0.5,0.04690503116810334,0.3970137010434964,0.3636083349509471,0.4331927506221532,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w16/150k,1.127e+17,9,0.25,0.07035754675215501,0.6197928937248558,0.5738778075551254,0.6693989573095736,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w16/150k,1.127e+17,9,0.0,0.09381006233620667,0.815100102351106,0.7606085583921006,0.872966003354145,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,3,1.0,0.0,3.372954804348183e-08,-1.3303437929046425e-08,8.481967908036123e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,3,0.75,0.03499446798481623,0.2670351180623749,0.23987895607922372,0.2977006656440116,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,3,0.5,0.06998893596963246,0.6134117775302403,0.5645390346100988,0.6684938963718616,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,3,0.25,0.10498340395444869,0.9135567798699435,0.851454587926228,0.9820084122241749,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,3,0.0,0.13997787193926492,1.1693473646954726,1.0988191176483257,1.2456336293765553,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,6,1.0,0.0,-2.928883358066514e-08,-7.850896328598367e-08,2.3538207916118372e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,6,0.75,0.021973078317509845,0.27015388324835055,0.24216062680956182,0.3012637234937942,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,6,0.5,0.04394615663501969,0.6065064904400579,0.5555611753877802,0.662454084986507,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,6,0.25,0.06591923495252953,0.8919231921661805,0.826593704808453,0.9622622773740735,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,6,0.0,0.08789231327003938,1.1320774849752948,1.0586898316826903,1.2112070809473652,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,9,1.0,0.0,3.6059990549119902e-09,-5.097021811284463e-08,5.7376376161322174e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,9,0.75,0.019424396565209615,0.19396843819123077,0.1727892057673618,0.21763657161284544,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,9,0.5,0.03884879313041923,0.45723084739901054,0.41445641221728563,0.5031737182797076,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,9,0.25,0.05827318969562885,0.6968292141632073,0.6410905439006054,0.7574214894543252,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w20/200k,1.865e+17,9,0.0,0.07769758626083846,0.906590593236984,0.8414347900720467,0.9772036979243938,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,3,1.0,0.0,-3.0948894114146697e-08,-8.630756409555573e-08,2.7600091012658323e-08,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,3,0.75,0.03534222650084561,0.3795535269455588,0.3404765912242088,0.4225280514854726,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,3,0.5,0.07068445300169122,0.7877702901431229,0.7229347626609138,0.8584783571072867,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
w24/300k,3.347e+17,3,0.25,0.10602667950253684,1.115689712533786,1.0379301194629218,1.1999160483626086,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/depth_localization_block3_block6_2026_08_22/depth_localization_points.csv
