architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,matched-compute-HIGH,HIGH,1024,512,rho_0.01,0.01,common,0.04863315996107499,0.06043704836032997,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,512,rho_0.1,0.1,common,0.0741814296951398,0.08554496094139305,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,512,rho_1e-06,1e-06,common,0.04152002179560588,0.05683925186002714,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,512,rho_1e-08,1e-08,common,0.041588431369190146,0.05718435353430655,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-HIGH,HIGH,1024,512,ridgeless,0.0,common,0.04155837423840378,0.056780096725921436,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,32,rho_0.0001,0.0001,common,0.45801323129060967,0.41738997556859625,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,32,rho_0.01,0.01,common,0.493605403599527,0.45145950419139264,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,32,rho_0.1,0.1,common,0.5825388368328945,0.5499630976547684,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,32,rho_1e-06,1e-06,common,0.4565939905332187,0.41642562336146094,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
MC-EGNN,matched-compute-LOW,LOW,1024,32,rho_1e-08,1e-08,common,0.45653598084034824,0.41602881171481,20,analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_learning_curves_m1024.csv
