architecture,budget_tier,owner_tag,split_seed,n,rho,ridge_setting,ridge_value,train_diag_mean,test_atoms,train_block_dimension,effective_numerical_rank_train,rcond,test_nmse,selected_rho,is_selected,inner_val_nmse,n_inner_val_atoms,source_file
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,128,0.1,rho_0.1,9.062034948175699,90.62034948175699,256,384,384,1e-10,0.5406555832901637,0.0,False,0.9583261878169534,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,0.0,ridgeless,0.0,106.67994360273616,256,768,768,1e-10,0.21001744173978926,0.0,True,0.28961529024406873,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,1e-08,rho_1e-08,1.0667994360273617e-06,106.67994360273616,256,768,768,1e-10,0.21001744465628303,0.0,False,0.28961529490293625,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,1e-06,rho_1e-06,0.00010667994360273615,106.67994360273616,256,768,768,1e-10,0.21001773338923213,0.0,False,0.2896157561307602,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,0.0001,rho_0.0001,0.010667994360273617,106.67994360273616,256,768,768,1e-10,0.21004660743704487,0.0,False,0.2896618780887392,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,0.01,rho_0.01,1.0667994360273616,106.67994360273616,256,768,768,1e-10,0.21292081805891558,0.0,False,0.2942408886444718,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,256,0.1,rho_0.1,10.667994360273617,106.67994360273616,256,768,768,1e-10,0.2356128369297208,0.0,False,0.3295572275954926,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,0.0,ridgeless,0.0,108.32088511742256,256,1536,1536,1e-10,0.155662717478781,0.1,False,0.44508458214414665,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,1e-08,rho_1e-08,1.0832088511742257e-06,108.32088511742256,256,1536,1536,1e-10,0.15566271909077295,0.1,False,0.4450845798812877,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,1e-06,rho_1e-06,0.00010832088511742256,108.32088511742256,256,1536,1536,1e-10,0.155662878679519,0.1,False,0.44508435586702627,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,0.0001,rho_0.0001,0.010832088511742256,108.32088511742256,256,1536,1536,1e-10,0.1556788531347224,0.1,False,0.4450620429818639,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,0.01,rho_0.01,1.0832088511742257,108.32088511742256,256,1536,1536,1e-10,0.15736476740536293,0.1,False,0.44342697982866025,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,0,512,0.1,rho_0.1,10.832088511742256,108.32088511742256,256,1536,1536,1e-10,0.17200639783338398,0.1,True,0.43908852752888106,128,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,0.0,ridgeless,0.0,96.75273495773531,256,96,96,1e-10,0.9466345734797597,0.0,True,0.7429923991377909,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,1e-08,rho_1e-08,9.675273495773532e-07,96.75273495773531,256,96,96,1e-10,0.9466345743240113,0.0,False,0.7429924026117987,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,1e-06,rho_1e-06,9.675273495773531e-05,96.75273495773531,256,96,96,1e-10,0.9466346579045944,0.0,False,0.7429927465376766,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,0.0001,rho_0.0001,0.009675273495773531,96.75273495773531,256,96,96,1e-10,0.9466430126067961,0.0,False,0.7430271301608834,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,0.01,rho_0.01,0.9675273495773532,96.75273495773531,256,96,96,1e-10,0.9474464774297205,0.0,False,0.7463788629582897,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,32,0.1,rho_0.1,9.675273495773531,96.75273495773531,256,96,96,1e-10,0.9527659360410247,0.0,False,0.7709173623995471,8,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,0.0,ridgeless,0.0,102.66163299790878,256,192,192,1e-10,0.8030260608157866,0.0,True,0.6470015350237514,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,1e-08,rho_1e-08,1.0266163299790878e-06,102.66163299790878,256,192,192,1e-10,0.8030260635311448,0.0,False,0.6470015394700557,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,1e-06,rho_1e-06,0.00010266163299790878,102.66163299790878,256,192,192,1e-10,0.8030263323508342,0.0,False,0.6470019796533322,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,0.0001,rho_0.0001,0.010266163299790878,102.66163299790878,256,192,192,1e-10,0.8030532064334959,0.0,False,0.6470459893692693,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,0.01,rho_0.01,1.0266163299790878,102.66163299790878,256,192,192,1e-10,0.8056659187952895,0.0,False,0.6513628417873022,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,64,0.1,rho_0.1,10.266163299790879,102.66163299790878,256,192,192,1e-10,0.8248533784557581,0.0,False,0.6844821972081022,16,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,0.0,ridgeless,0.0,99.062538152676,256,384,384,1e-10,0.6116333206993475,0.0,True,0.40610481858510666,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,1e-08,rho_1e-08,9.9062538152676e-07,99.062538152676,256,384,384,1e-10,0.6116333255727643,0.0,False,0.40610482416479876,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,1e-06,rho_1e-06,9.9062538152676e-05,99.062538152676,256,384,384,1e-10,0.6116338080389816,0.0,False,0.40610537655271256,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,0.0001,rho_0.0001,0.0099062538152676,99.062538152676,256,384,384,1e-10,0.6116820341153097,0.0,False,0.4061605996820999,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,0.01,rho_0.01,0.99062538152676,99.062538152676,256,384,384,1e-10,0.6163150111444753,0.0,False,0.41153766286787413,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,128,0.1,rho_0.1,9.9062538152676,99.062538152676,256,384,384,1e-10,0.648413409161424,0.0,False,0.4522228995200062,32,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,0.0,ridgeless,0.0,99.454419029157,256,768,768,1e-10,0.509209351037656,0.01,False,0.6622160589760462,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,1e-08,rho_1e-08,9.945441902915699e-07,99.454419029157,256,768,768,1e-10,0.5092093523922098,0.01,False,0.6622160581750199,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,1e-06,rho_1e-06,9.9454419029157e-05,99.454419029157,256,768,768,1e-10,0.5092094864948795,0.01,False,0.6622159788762649,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,0.0001,rho_0.0001,0.0099454419029157,99.454419029157,256,768,768,1e-10,0.5092229148472281,0.01,False,0.6622080774978361,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,0.01,rho_0.01,0.9945441902915699,99.454419029157,256,768,768,1e-10,0.5106817931248466,0.01,True,0.6616532298631634,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
MPNN,PRECROSS,mpnn_MID_w1150_s500000,1,256,0.1,rho_0.1,9.9454419029157,99.454419029157,256,768,768,1e-10,0.5236164253507766,0.01,False,0.664048216408939,64,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_split_results_dense_m1024.csv
