architecture,budget_tier,owner_tag,split_seed,n,rho,ridge_setting,ridge_value,train_diag_mean,test_atoms,train_block_dimension,effective_numerical_rank_train,rcond,test_nmse,selected_rho,is_selected,inner_val_nmse,n_inner_val_atoms,source_file
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,0.0,ridgeless,0.0,226.46875862892742,256,768,768,1e-10,0.2388504458133526,0.0,True,0.26962701428156477,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,1e-08,rho_1e-08,2.264687586289274e-06,226.46875862892742,256,768,768,1e-10,0.23885045103282004,0.0,False,0.26962702265293975,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,1e-06,rho_1e-06,0.0002264687586289274,226.46875862892742,256,768,768,1e-10,0.23885096775740436,0.0,False,0.2696278514107178,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,0.0001,rho_0.0001,0.022646875862892744,226.46875862892742,256,768,768,1e-10,0.238902612878521,0.0,False,0.2697106442737095,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,0.01,rho_0.01,2.2646875862892744,226.46875862892742,256,768,768,1e-10,0.24367788316829941,0.0,False,0.27733409998396436,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,256,0.1,rho_0.1,22.646875862892742,226.46875862892742,256,768,768,1e-10,0.271363289355445,0.0,False,0.32596562465625656,64,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,0.0,ridgeless,0.0,235.20545636876736,256,1536,1536,1e-10,0.1849331228039602,0.1,False,0.4970936731774264,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,1e-08,rho_1e-08,2.3520545636876738e-06,235.20545636876736,256,1536,1536,1e-10,0.18493312184964605,0.1,False,0.4970936453538349,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,1e-06,rho_1e-06,0.00023520545636876734,235.20545636876736,256,1536,1536,1e-10,0.18493302736396852,0.1,False,0.49709089102208165,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,0.0001,rho_0.0001,0.023520545636876736,235.20545636876736,256,1536,1536,1e-10,0.18492347073013266,0.1,False,0.496817474011482,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,0.01,rho_0.01,2.3520545636876737,235.20545636876736,256,1536,1536,1e-10,0.18167362061219655,0.1,False,0.4795539224150968,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,0,512,0.1,rho_0.1,23.520545636876736,235.20545636876736,256,1536,1536,1e-10,0.17620055218161595,0.1,True,0.4429691469916655,128,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,1,32,0.0,ridgeless,0.0,185.99436718560423,256,96,96,1e-10,0.9965580082021261,0.0,True,0.7431450080584393,8,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,1,32,1e-08,rho_1e-08,1.8599436718560423e-06,185.99436718560423,256,96,96,1e-10,0.9965580086026968,0.0,False,0.7431450094665147,8,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,1,32,1e-06,rho_1e-06,0.00018599436718560422,185.99436718560423,256,96,96,1e-10,0.9965580482593452,0.0,False,0.7431451488659702,8,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
MPNN,LOW,mpnn_LOW_w607_s400000,1,32,0.0001,rho_0.0001,0.018599436718560423,185.99436718560423,256,96,96,1e-10,0.9965620152728393,0.0,False,0.7431590888387865,8,upstream-analysis/analysis_outputs/matched_compute_large_m_krr_2026_08_22/krr_split_results_m1024.csv
