architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
MC-EGNN,dense-grid-CROSS,CROSS,1024,256,ridgeless,0.0,common,0.06008928290319017,0.07099021347549817,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,rho_0.0001,0.0001,common,0.03674781589203342,0.041005958015205304,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,rho_0.01,0.01,common,0.03998373819161935,0.04067348114925008,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,rho_0.1,0.1,common,0.06089569930794378,0.05736401463700097,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,rho_1e-06,1e-06,common,0.036703431435503274,0.0410561854744657,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,rho_1e-08,1e-08,common,0.03704822479588325,0.0412075726754201,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
MC-EGNN,dense-grid-CROSS,CROSS,1024,512,ridgeless,0.0,common,0.03693364469724443,0.0413529629338418,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,32,rho_0.0001,0.0001,common,0.1841807199001793,0.17708075731345702,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,32,rho_0.01,0.01,common,0.20115374538208322,0.19453872639207792,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
eSEN,dense-grid-CROSS,CROSS,1024,32,rho_0.1,0.1,common,0.27575891141875364,0.2564662202485417,20,upstream-analysis/analysis_outputs/dense_grid_claim1_2026_08_23/krr/krr_learning_curves_dense_m1024.csv
