metric,architecture,architecture_label,fit_domain,truncation_frac,n_widths,n_frontier_owners_total,gamma_event_point_ols,gamma_nls_rawloss,gamma,logA,r2,rmse_log,C_min,C_max,decades,n_grid_used,n_frontier_owners_in_range,source_file
force_mse_norm,gemnet_oc,GemNet-OC,common,1.0,14,48,0.335387393585742,0.3626536666780548,0.3308448586774724,6.707134361853944,0.9835383461147574,0.06166402734405947,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,43,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
force_mse_norm,esen,eSEN (lmax=4),common,1.0,11,65,0.6011540213180138,0.7732246367067319,0.6631752523664726,19.880357409221883,0.9780940426312349,0.1429833718128954,8490496806204098.0,1.224318700299612e+18,2.158961380026575,256,62,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,mpnn,MPNN,native_observed,1.0,17,76,0.1414692305941885,0.14048120919512846,0.14098666632541101,2.6136516709790065,0.9966939466694003,0.021443125100777456,135037120448585.05,1.224318700299612e+18,3.9574413145563776,256,76,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,egnn,MC-EGNN,native_observed,1.0,5,24,0.1632268436030047,0.191340324659512,0.17832307943214562,3.515579332212343,0.9719735781418442,0.04835683201487128,7700118100371672.0,1.903968144683415e+18,2.393162291717953,256,24,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,gemnet_oc,GemNet-OC,native_observed,1.0,14,54,0.2226798286028337,0.2428651419909293,0.2298956960499093,4.812646176089987,0.990857047500186,0.04074163349583173,2862760908790029.0,1.6652793429150208e+18,2.7647020165863965,256,54,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,esen,eSEN (lmax=4),native_observed,1.0,11,66,0.40634641568095503,0.4574739054830444,0.4327934834776558,12.732237361253668,0.990578365617697,0.062245673634269985,8490496806204098.0,1.3769318951732844e+18,2.209979357072436,256,66,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,mpnn,MPNN,common,0.5,17,76,0.14051899727233083,0.14580435190886895,0.1450080513913632,2.7540232982344426,0.9946136247840649,0.007686871678270796,8490496806204098.0,1.0195623578119098e+17,1.0794806900132874,256,28,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,egnn,MC-EGNN,common,0.5,5,24,0.18518942209547282,0.24608054780592284,0.2391848440958732,5.820914011811775,0.9529308095762932,0.03829197373599719,8490496806204098.0,1.0195623578119098e+17,1.0794806900132874,256,8,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,gemnet_oc,GemNet-OC,common,0.5,14,54,0.2583128368619376,0.2575320613000683,0.25672509316056624,5.807709322316127,0.9924815159602726,0.016095655298802632,8490496806204098.0,1.0195623578119098e+17,1.0794806900132874,256,23,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,esen,eSEN (lmax=4),common,0.5,11,66,0.4420885372826907,0.4698739465056929,0.481826017292655,14.597902671703638,0.9700403438864134,0.06099583426579239,8490496806204098.0,1.0195623578119098e+17,1.0794806900132874,256,19,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,mpnn,MPNN,common,0.75,17,76,0.14290304819856844,0.14415012392868962,0.14360023696512011,2.701135182859193,0.9974522810381374,0.007841741584272153,8490496806204098.0,3.533085423239417e+17,1.619221035019931,256,40,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,egnn,MC-EGNN,common,0.75,5,24,0.1817984795626129,0.21645296690328533,0.20521380202198902,4.539718041967643,0.9658354060690431,0.04170333737645562,8490496806204098.0,3.533085423239417e+17,1.619221035019931,256,13,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
canonical_f_loss,gemnet_oc,GemNet-OC,common,0.75,14,54,0.23641543453357572,0.2437803535364838,0.23876744859404797,5.130375774151902,0.9945207463975304,0.019149461695259253,8490496806204098.0,3.533085423239417e+17,1.619221035019931,256,40,dev-equivariant-scaling-laws/analysis_outputs/four_arch_force_scaling_repaired_2026_08_14/four_arch_force_scaling_fits.csv
