architecture,checkpoint_state,budget_tier,m,n_train,ridge_setting,ridge_value,target,test_nmse_median,test_nmse_mean,split_count,source_file
GemNet-OC,K0,,256,128,rho_1e-8,1e-08,raw_force,1.5363052616544584,1.9497340298893118,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,ridgeless,0.0,raw_force,1.536562450306673,1.9496036671305714,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-4,0.0001,raw_force,1.15372293115017,1.6169696697460938,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-6,1e-06,raw_force,1.1540606030186267,1.6193524522289071,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,rho_1e-8,1e-08,raw_force,1.1544540776753385,1.6194202780116354,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,8,ridgeless,0.0,raw_force,1.1544678851216919,1.6194219443385094,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-4,0.0001,raw_force,1.5074975753228803,1.7748330408420556,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-6,1e-06,raw_force,1.501459839084489,1.7855011948335053,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,rho_1e-8,1e-08,raw_force,1.4997739907230665,1.7855197372611609,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,16,ridgeless,0.0,raw_force,1.4997294292531338,1.7855189643111227,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-4,0.0001,raw_force,1.9824854072112772,1.9362998058243206,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-6,1e-06,raw_force,2.0239410720281383,1.9825710783216137,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,rho_1e-8,1e-08,raw_force,2.0244062760029116,1.9830171081061068,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,32,ridgeless,0.0,raw_force,2.0244109828371917,1.9828407815800606,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-4,0.0001,raw_force,1.7193699789517638,2.053960894423107,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-6,1e-06,raw_force,1.8011801214531296,2.1457546339072815,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,rho_1e-8,1e-08,raw_force,1.800623683695748,2.1475841434393232,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,64,ridgeless,0.0,raw_force,1.800549992448314,2.147691413046275,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-4,0.0001,raw_force,1.6873808318659798,2.1023371020150763,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-6,1e-06,raw_force,1.758973858419352,2.1872135993543145,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,rho_1e-8,1e-08,raw_force,1.760328946945617,2.183475098718928,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,96,ridgeless,0.0,raw_force,1.7603933952803001,2.183542511057693,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-4,0.0001,raw_force,1.3845458994806394,1.808992688105004,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-6,1e-06,raw_force,1.484414041510419,1.891928813783159,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,rho_1e-8,1e-08,raw_force,1.4851069538199893,1.888315054890084,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
GemNet-OC,K0,,256,128,ridgeless,0.0,raw_force,1.4862755456986085,1.8884087435618668,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-4,0.0001,raw_force,1.261311050241653,2.2148083041243454,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-6,1e-06,raw_force,3.7816321263295265,12.626047247097834,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
MC-EGNN,K0,,256,8,rho_1e-8,1e-08,raw_force,6.283272649585085,27.727284636454407,20,dev-equivariant-scaling-laws-kernel-pilot-clean/analysis_outputs/four_arch_initial_force_kernel_pilot_2026_08_14/krr_learning_curves.csv
