owner,C_flops,alpha,P_bal,P_bal_uncentered,P_raw,delta,loss_multiplier,delta_ci_lo,delta_ci_hi,source_file
w10/50k,2.399e+16,1.0,0.0,0.0,0.0,-1.1250000930829174e-08,0.9999999887499992,-3.4837178808366787e-08,1.2050091235948905e-08,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w10/50k,2.399e+16,0.75,0.02548507169300524,0.02540196151555579,0.05825969642554651,0.012102709143703816,1.0121762432826766,0.010525718946700924,0.013896001493511778,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w10/50k,2.399e+16,0.5,0.05097014338601048,0.05080392303111158,0.11651939285109301,0.04537574017759116,1.0464209684512762,0.040877233014479854,0.05023396916495277,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w10/50k,2.399e+16,0.25,0.07645521507901572,0.07620588454666738,0.17477908927663952,0.09370797747011617,1.0982389885574098,0.08546374435910706,0.10280630765223459,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w10/50k,2.399e+16,0.0,0.10194028677202097,0.10160784606222316,0.23303878570218603,0.15168016020263275,1.1637879511969795,0.13890380011935485,0.165305590294138,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w16/150k,1.127e+17,1.0,0.0,0.0,0.0,-9.208802609350641e-10,0.9999999990791197,-4.038171945719426e-08,3.7499775151772465e-08,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w16/150k,1.127e+17,0.75,0.023452515585715653,0.023396921035729663,0.0567640872092582,0.15725146039171545,1.1702898584501649,0.14161781753191677,0.17388448802101045,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w16/150k,1.127e+17,0.5,0.046905031171431306,0.04679384207145933,0.1135281744185164,0.3970137010434964,1.4873763085192018,0.3636083349509471,0.4331927506221532,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w16/150k,1.127e+17,0.25,0.07035754675714696,0.07019076310718898,0.17029226162777458,0.6197928937248558,1.8585430860485908,0.5738778075551254,0.6693989573095736,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w16/150k,1.127e+17,0.0,0.09381006234286261,0.09358768414291865,0.2270563488370328,0.815100102351106,2.259401832465456,0.7606085583921006,0.872966003354145,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w20/200k,1.865e+17,1.0,0.0,0.0,0.0,3.6059990549119902e-09,1.000000003605999,-5.097021811284463e-08,5.7376376161322174e-08,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w20/200k,1.865e+17,0.75,0.019424396563757697,0.019386569412590003,0.04894454706360379,0.19396843819123077,1.2140579644862264,0.1727892057673618,0.21763657161284544,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w20/200k,1.865e+17,0.5,0.038848793127515394,0.038773138825180006,0.09788909412720757,0.45723084739901054,1.5796935102994205,0.41445641221728563,0.5031737182797076,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w20/200k,1.865e+17,0.25,0.05827318969127309,0.05815970823777001,0.14683364119081138,0.6968292141632073,2.0073776412328734,0.6410905439006054,0.7574214894543252,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w20/200k,1.865e+17,0.0,0.07769758625503079,0.07754627765036001,0.19577818825441515,0.906590593236984,2.475866889892772,0.8414347900720467,0.9772036979243938,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w24/300k,3.347e+17,1.0,0.0,0.0,0.0,-3.3239639485316275e-08,0.9999999667603611,-8.67579173169375e-08,2.1243508063761848e-08,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w24/300k,3.347e+17,0.75,0.029929854011703724,0.029894505421045443,0.071587987484547,0.23282549089376037,1.2621612014843742,0.20623593777895236,0.263197140481959,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w24/300k,3.347e+17,0.5,0.05985970802340745,0.05978901084209089,0.143175974969094,0.5260657110935592,1.692261349429099,0.47413122830090493,0.5823120713491131,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w24/300k,3.347e+17,0.25,0.08978956203511117,0.08968351626313634,0.214763962453641,0.7812437224166606,2.1841870993560355,0.7131878960831739,0.854592187589816,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
w24/300k,3.347e+17,0.0,0.1197194160468149,0.11957802168418177,0.286351949938188,0.9984977326669289,2.714201308249589,0.9192736237775121,1.0829592923834814,upstream-analysis/analysis_outputs/frontier_ell4_degree_balanced_perturbation_2026_08_21/degree_balanced_points.csv
