l4_id,l4_width,l4_step,l4_flops,l4_force_loss_neutral,l2_id,l2_width,l2_step,l2_flops,l2_force_loss_neutral,compute_ratio_l2_over_l4,log10_compute_difference,matching_rule,valid_match,l2_is_frontier_owner,l4_is_beyond_C_common_max
esen_lmax4_w16_s6000,16,6000,4495469555015039.0,0.0225289185648659,esen_lmax2_w16_s25500,16,25500,4744844937499594.0,0.0152849418304185,1.0554725995655687,0.023446963354773115,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s6500,16,6500,4867693782913600.0,0.0216951757719456,esen_lmax2_w16_s26000,16,26000,4837976920140809.0,0.0150966787925603,0.9938950837710658,-0.0026594575987784292,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s7000,16,7000,5242354388519595.0,0.020954904728569,esen_lmax2_w16_s28000,16,28000,5210071194292204.0,0.0143989391126734,0.9938418519934309,-0.002682718490980336,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s7500,16,7500,5615213535497848.0,0.0202627171717657,esen_lmax2_w16_s30000,16,30000,5582266071577894.0,0.0137105028313857,0.9941324646495331,-0.0025557435368686416,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s8000,16,8000,5988232168616608.0,0.0196055824896342,esen_lmax2_w16_s32000,16,32000,5955161842418205.0,0.0130944627394424,0.9944774475559383,-0.0024050612203558586,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s8500,16,8500,6362128191614044.0,0.0190368797310131,esen_lmax2_w16_s34000,16,34000,6327946702866065.0,0.0125494148668523,0.9946273498869398,-0.0023396028740833626,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s9000,16,9000,6733491885892682.0,0.0185028134657534,esen_lmax2_w16_s36000,16,36000,6699852010617930.0,0.0120106986652593,0.995004096560177,-0.0021751312042069914,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s9500,16,9500,7108429107026930.0,0.0180351635442259,esen_lmax2_w16_s38000,16,38000,7072282559066670.0,0.0115187761152548,0.9949149738407705,-0.0022140327915650152,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s10000,16,10000,7483910482770661.0,0.0175945007530746,esen_lmax2_w16_s40000,16,40000,7444234249480238.0,0.011048308757024,0.9946984623370676,-0.0023085534155095,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
esen_lmax4_w16_s10500,16,10500,7859286398844246.0,0.0171280736326805,esen_lmax2_w16_s42000,16,42000,7815375639088547.0,0.0106156907497644,0.9944128820954844,-0.002433258273545229,"nearest_realized_FLOPs_in_log10_among_evaluated_lmax2_checkpoints(609-ckpt force_eval_inventory.json; same kappa_l(width)*N*D convention as find_matched_compute_lmax2.py); tol=|log10 ratio|<=0.06 (~15%, covers all 4 historical canonical pairs, max 0.0464 at HIGH)",True,True,False
