arch,width,step,seed,run_id,run_name,C_flops,used_in_valid_pair,checkpoint_path
lmax4,16,10500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,7859286398844246.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=10500.ckpt
lmax4,16,11000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,8233573573487101.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=11000.ckpt
lmax4,16,11500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,8610187776261378.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=11500.ckpt
lmax4,16,12000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,8986355504284586.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=12000.ckpt
lmax4,16,12500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,9361686470334830.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=12500.ckpt
lmax4,8,25000,1,9897808,esen-sphere-8-neutral-epoch,9551483695195872.0,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-8-neutral-epoch/esen/run_9897808_params_878.4_thousand/dim_32_step_step=25000.ckpt
lmax4,16,18000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.3482950538730202e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=18000.ckpt
lmax4,16,18500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.3856899723774472e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=18500.ckpt
lmax4,16,19000,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.4231963582955248e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=19000.ckpt
lmax4,16,19500,1,10359676,esen-sphere-16-neutral-epoch-lmax4-dense0to50k,1.4605464564401398e+16,True,<CHECKPOINT_ROOT>/geometric_scaling_checkpoints_esen/esen-sphere-16-neutral-epoch-lmax4-dense0to50k/esen/run_10359676_params_1.7_million/dim_32_step_step=19500.ckpt
