lmax4_tag,lmax2_tag,domain,M,L_lmax4,L_lmax2,H_force,H_ci_lo,H_ci_hi,lmax4_advantage_significant,source_file
w20/200k,esen_lmax2_UPPERMID_w32_s525000,ID,1024,0.009453774302136066,0.009065567944181788,-0.041930564155689964,-0.059681377620604284,-0.022867879477042656,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,ID,2048,0.009051002707521806,0.008717336419252287,-0.03756181323383334,-0.05033148216917564,-0.024490705817371065,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,ID,4096,0.008907988242511058,0.008620775195483266,-0.032773419011883576,-0.04207968614864401,-0.023524586780597725,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,ID,8192,0.008587110349233634,0.008330610685018999,-0.030325517321055706,-0.03698674083671889,-0.023522836164579758,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,ID,16384,0.008571066380358823,0.008309479391529252,-0.030995198176427152,-0.035762774395561414,-0.02590821229596596,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,OOD,1024,0.008487063465107808,0.007896525159586922,-0.07212024938734185,-0.10665102402551192,-0.041772024249302424,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,OOD,2048,0.00860256393672702,0.007971262656401907,-0.07621738460213479,-0.09721530004085413,-0.05813161197388119,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,OOD,4096,0.009097337457567885,0.00830685793941088,-0.09090035223053228,-0.10486028470189965,-0.07801251391856409,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,OOD,8192,0.009069236411095687,0.008326844913437286,-0.08540344963211233,-0.09436875363566435,-0.07697325949022489,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w20/200k,esen_lmax2_UPPERMID_w32_s525000,OOD,16384,0.00915064874230513,0.008388919573827867,-0.08691304085309604,-0.09294493004594029,-0.08073857237436047,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,ID,1024,0.007693661714181817,0.007223723217336076,-0.06302633482156494,-0.08649653836581266,-0.03993080652470796,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,ID,2048,0.007236118147751373,0.0068484145870177865,-0.05506771683538947,-0.07054418148356434,-0.03971871752611982,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,ID,4096,0.007136516415827598,0.006770771100414934,-0.05260978029186525,-0.06333580925027951,-0.04119401336289219,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,ID,8192,0.006889365684451093,0.006526989823533044,-0.05403315705487799,-0.061853537819120175,-0.045626461814561425,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,ID,16384,0.00686766193637755,0.0065224734041060195,-0.05157005835615536,-0.05678203904946246,-0.045512513316923436,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,OOD,1024,0.0067027871027343046,0.00629920628591622,-0.06209978628364521,-0.07911836730676916,-0.044437846432403026,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,OOD,2048,0.006870332191722977,0.006344821724046512,-0.0795734553331977,-0.09509435555334608,-0.06489330380914345,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,OOD,4096,0.007224843066238555,0.006654236775119828,-0.08227175198621772,-0.09334556649694307,-0.07203676719331027,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,OOD,8192,0.007202173166130731,0.006659569306691102,-0.07832799531399015,-0.08635826352624884,-0.07085678337929904,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
w24/300k,esen_lmax2_HIGH_w64_s525000,OOD,16384,0.00728752264148344,0.006728026873604187,-0.07988174160907935,-0.08515260793529467,-0.07461374379135106,False,analysis_outputs/esen_irrep_ood_2026_08_22/eval/lmax2_vs_lmax4_baseline.csv
