l4_flops,l2_flops,matched_compute,domain,H_force,ci_low,ci_high,ci_note,H_force_bootstrap_M16384_ID_pool_cross_check,ci_low_bootstrap_M16384_ID_pool,ci_high_bootstrap_M16384_ID_pool,valid_match,l4_width,l4_step,l2_width,l2_step
5615213535497848.0,5582266071577894.0,True,Val_Comp_support_matched,-0.23807850844292178,-0.24559575362810326,-0.23003018819315998,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,7500,16,30000
5988232168616608.0,5955161842418205.0,True,Neutral_val,-0.4036248973802117,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.25579304081744825,-0.2601139200543839,-0.25152362673917006,True,16,8000,16,32000
5988232168616608.0,5955161842418205.0,True,Val_Comp_support_matched,-0.236378598538459,-0.24411833524341078,-0.22827368234520062,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,8000,16,32000
6362128191614044.0,6327946702866065.0,True,Neutral_val,-0.41670409592413904,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2556715447039828,-0.26005224355103473,-0.25136426279562774,True,16,8500,16,34000
6362128191614044.0,6327946702866065.0,True,Val_Comp_support_matched,-0.23153148090830422,-0.23940511455905758,-0.2232522327951721,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,8500,16,34000
6733491885892682.0,6699852010617930.0,True,Neutral_val,-0.4321249917245278,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.255865616241286,-0.2601199918615055,-0.25162515426217014,True,16,9000,16,36000
6733491885892682.0,6699852010617930.0,True,Val_Comp_support_matched,-0.2273367464395526,-0.23539802574114413,-0.21899108893425934,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,9000,16,36000
7108429107026930.0,7072282559066670.0,True,Neutral_val,-0.448344972843552,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2560083867431189,-0.2602155013661807,-0.25178156395884393,True,16,9500,16,38000
7108429107026930.0,7072282559066670.0,True,Val_Comp_support_matched,-0.22393566414731936,-0.23200665263396256,-0.21553111254532833,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,9500,16,38000
7483910482770661.0,7444234249480238.0,True,Neutral_val,-0.46530903342064267,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.25667479534649074,-0.26086617657724787,-0.2524503525208075,True,16,10000,16,40000
7483910482770661.0,7444234249480238.0,True,Val_Comp_support_matched,-0.21978009749631156,-0.2279386612788047,-0.21134011446156373,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,10000,16,40000
7859286398844246.0,7815375639088547.0,True,Neutral_val,-0.4783856842178462,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2568189552795035,-0.260973918306707,-0.252469258006487,True,16,10500,16,42000
7859286398844246.0,7815375639088547.0,True,Val_Comp_support_matched,-0.21763022129163012,-0.2258309819949008,-0.2090502093753769,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,10500,16,42000
8233573573487101.0,8279644179810810.0,True,Neutral_val,-0.5029058169226976,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2624020183703686,-0.2665534569193769,-0.2579820223546143,True,16,11000,16,44500
8233573573487101.0,8279644179810810.0,True,Val_Comp_support_matched,-0.22053388972573007,-0.2289990357778434,-0.21167091810849845,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,11000,16,44500
8610187776261378.0,8652475100818556.0,True,Neutral_val,-0.5126417675502966,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.26185721100841386,-0.26604929680076994,-0.25742302738083056,True,16,11500,16,46500
8610187776261378.0,8652475100818556.0,True,Val_Comp_support_matched,-0.21596071340126421,-0.22451467961154906,-0.2071045260761142,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,11500,16,46500
8986355504284586.0,9025511630153062.0,True,Neutral_val,-0.5229982669921718,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.2616606069004437,-0.26591377554510265,-0.2572705909948586,True,16,12000,16,48500
8986355504284586.0,9025511630153062.0,True,Val_Comp_support_matched,-0.21286183250451485,-0.22140246854717982,-0.2039106185735028,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,12000,16,48500
9361686470334830.0,9304792050891542.0,True,Neutral_val,-0.5261167445414525,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.25769313305730623,-0.26198478746896614,-0.25331001929930635,True,16,12500,16,50000
9361686470334830.0,9304792050891542.0,True,Val_Comp_support_matched,-0.20751557780102958,-0.21608779278086998,-0.1985944469503977,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,16,12500,16,50000
9551483695195872.0,9304792050891542.0,True,Neutral_val,-0.24917407194489805,,,point_estimate_full_deterministic_Neutral_val_population_n27697,-0.17490884375024018,-0.178968291756603,-0.17097833841219137,True,8,25000,16,50000
9551483695195872.0,9304792050891542.0,True,Val_Comp_support_matched,-0.1710590137573802,-0.17808752412741366,-0.16401110611234843,paired_bootstrap_M16384_esen_irrep_ood_2026_08_22_full_frontier_eval,,,,True,8,25000,16,50000
