l4_owner_tag,l4_width,l4_step,C_flops,alpha,block9_ell4_causal_damage_delta,causal_damage_ci_lo,causal_damage_ci_hi,H_force_Neutral,H_force_Neutral_ci_lo,H_force_Neutral_ci_hi,H_force_ValComp,H_force_ValComp_ci_lo,H_force_ValComp_ci_hi
w10/50k,10,50000,2.3989785957410084e+16,0.5,0.04537574017759116,0.040877233014479854,0.05023396916495277,-0.20255246248053282,-0.20667600301881406,-0.19832042575227052,-0.16307375599906138,-0.1741071262813293,-0.1521808812396674
w16/150k,16,150000,1.1268708929342485e+17,0.5,0.3970137010434964,0.3636083349509471,0.4331927506221532,-0.08250725153096283,-0.08790953614682687,-0.07716935152898644,-0.08183349752755831,-0.08765125392424715,-0.0759102255950401
w20/200k,20,200000,1.8649009486112646e+17,0.5,0.45723084739901054,0.41445641221728563,0.5031737182797076,-0.030995198176427152,-0.035762774395561414,-0.02590821229596596,-0.08691304085309604,-0.09294493004594029,-0.08073857237436047
w24/300k,24,300000,3.346812983455683e+17,0.5,0.5260657110935592,0.47413122830090493,0.5823120713491131,-0.05157005835615536,-0.05678203904946246,-0.045512513316923436,-0.07988174160907935,-0.08515260793529467,-0.07461374379135106
